Reference, Value, Footprint,URL, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
U1,ESP32-WROOM-32_8MB,bleskomat-footprints:ESP32-WROOM-32 8MB,https://www.digikey.com/en/products/detail/espressif-systems/esp32-wroom-32-8mb/9381712,,,,
J2,epaper B8B-XH-A_LFSN,bleskomat-footprints:B8B-XH-A LFSN,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B8B-XH-A-LF-SN/1651049,,,,
J4,button B2B-XH-ALFSN,bleskomat-footprints:B2B-XH-ALFSN,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-XH-A-LF-SN/1651045,,,,
J6,coin acceptor B5B-XH-A_LFSN,bleskomat-footprints:B5B-XH-A LFSN,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B5B-XH-A-LF-SN/1530483,,,,
J3,NV9 30316-6002HB,bleskomat-footprints:30316-6002HB,https://www.digikey.com/en/products/detail/3m/30316-6002HB/1237397,,,,
R1,R 10K button,bleskomat-footprints:CFR-25JB-52-10K,https://www.digikey.com/en/products/detail/yageo/CFR-25JB-52-10K/338,,,,
PS1,step-down-R-78E3.3-1.0,bleskomat-footprints:CONV_R-78E3.3-1.0,https://www.digikey.com/en/products/detail/recom-power/R-78E3-3-1-0/5327711,RECOM,10.40mm,6,Manufacturer Recommendations
J5,SD_CARD_HOLDER_DM3D-SF,bleskomat-footprints:DM3D-SF,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DM3D-SF/1786510,,,,
U2,switch power JS202011CQN,bleskomat-footprints:JS202011CQN,https://www.digikey.com/en/products/detail/c-k/JS202011CQN/1640097 ,,,,
D1,LED-LTST-C194TBKT,bleskomat-footprints:0603,https://www.digikey.com/en/products/detail/lite-on-inc/LTST-C194TBKT/2356225,,,,
J1,firmware B6B-XH-ALFSN,bleskomat-footprints:B6B-XH-ALFSN,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-XH-A-LF-SN/1000381,,,,
POWER1,12V-SOCKET,bleskomat-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-202A,https://www.digikey.com/en/products/detail/cui-devices/PJ-202A/252007,,,,
